Nro.;Codigo;Turno_ID;Descripcion;Hora_Inicio;Hora_Termino;Descanso1;Descanso2;Total_Horas;Refrigerio;H.Efectivas;Inicio_Refrigerio;Fin_Refrigerio;Avail
1225 ;5747 ;IMPORT5747;De 07:00 a 17:30 R60 ;07:00 ;17:30 ;15 ;15 ;10:30 ;60 ;9:30;13:15 ;14:15 ;0
1226 ;5748 ;IMPORT5748;De 07:00 a 18:00 R60 ;07:00 ;18:00 ;15 ;15 ;11:00 ;60 ;10:00;12:40 ;13:40 ;0
1227 ;5749 ;IMPORT5749;De 10:30 a 21:00 R60 ;10:30 ;21:00 ;15 ;15 ;10:30 ;60 ;9:30;14:45 ;15:45 ;0
1228 ;5750 ;IMPORT5750;De 11:00 a 22:00 R60 ;11:00 ;22:00 ;30 ;0 ;11:00 ;60 ;10:00;16:45 ;17:45 ;0
1229 ;5751 ;IMPORT5751;De 22:00 a 08:00 R60 ;22:00 ;08:00 ;15 ;15 ;10:00 ;60 ;9:00;01:35 ;02:35 ;0
1230 ;5752 ;IMPORT5752;De 11:00 a 22:00 R60 ;11:00 ;22:00 ;30 ;0 ;11:00 ;60 ;10:00;16:35 ;17:35 ;0
1231 ;5753 ;IMPORT5753;De 17:00 a 01:00 R60 ;17:00 ;01:00 ;15 ;15 ;08:00 ;60 ;7:00;20:00 ;21:00 ;1
1232 ;5754 ;IMPORT5754;De 11:00 a 22:00 R60 ;11:00 ;22:00 ;30 ;0 ;11:00 ;60 ;10:00;17:30 ;18:30 ;0
1233 ;5755 ;IMPORT5755;De 11:00 a 22:00 R60 ;11:00 ;22:00 ;30 ;0 ;11:00 ;60 ;10:00;18:15 ;19:15 ;0
1234 ;5756 ;IMPORT5756;De 11:30 a 21:30 R60 ;11:30 ;21:30 ;30 ;0 ;10:00 ;60 ;9:00;17:15 ;18:15 ;0
1235 ;5757 ;IMPORT5757;De 00:00 a 08:30 R0 ;00:00 ;08:30 ;15 ;15 ;08:30 ;0 ;8:30;;;1
1236 ;5758 ;IMPORT5758;De 06:00 a 16:00 R60 ;06:00 ;16:00 ;30 ;0 ;10:00 ;60 ;9:00;11:30 ;12:30 ;0
1237 ;5759 ;IMPORT5759;De 06:00 a 16:00 R60 ;06:00 ;16:00 ;30 ;0 ;10:00 ;60 ;9:00;11:50 ;12:50 ;0
1238 ;5760 ;IMPORT5760;De 06:00 a 17:00 R60 ;06:00 ;17:00 ;30 ;0 ;11:00 ;60 ;10:00;13:55 ;14:55 ;0
1239 ;5761 ;IMPORT5761;De 08:00 a 17:30 R60 ;08:00 ;17:30 ;15 ;15 ;09:30 ;60 ;8:30;12:10 ;13:10 ;1
1240 ;5762 ;IMPORT5762;De 09:30 a 17:30 R60 ;09:30 ;17:30 ;15 ;15 ;08:00 ;60 ;7:00;13:15 ;14:15 ;1
1241 ;5763 ;IMPORT5763;De 15:00 a 23:00 R60 ;15:00 ;23:00 ;15 ;15 ;08:00 ;60 ;7:00;18:00 ;19:00 ;1
1242 ;5764 ;IMPORT5764;De 10:30 a 20:00 R60 ;10:30 ;20:00 ;15 ;15 ;09:30 ;60 ;8:30;15:45 ;16:45 ;1
1243 ;5765 ;IMPORT5765;De 15:00 a 23:00 R60 ;15:00 ;23:00 ;30 ;0 ;08:00 ;60 ;7:00;19:00 ;20:00 ;1
1244 ;5766 ;IMPORT5766;De 07:30 a 16:30 R60 ;07:30 ;16:30 ;15 ;15 ;09:00 ;60 ;8:00;10:30 ;11:30 ;1
1245 ;5767 ;IMPORT5767;De 10:00 a 20:30 R60 ;10:00 ;20:30 ;15 ;15 ;10:30 ;60 ;9:30;13:15 ;14:15 ;0
1246 ;5768 ;IMPORT5768;De 09:00 a 19:30 R60 ;09:00 ;19:30 ;15 ;15 ;10:30 ;60 ;9:30;13:15 ;14:15 ;0
1247 ;5769 ;IMPORT5769;De 15:30 a 00:30 R60 ;15:30 ;00:30 ;15 ;15 ;09:00 ;60 ;8:00;18:30 ;19:30 ;1
1248 ;5770 ;IMPORT5770;De 07:30 a 17:30 R60 ;07:30 ;17:30 ;30 ;0 ;10:00 ;60 ;9:00;12:30 ;13:30 ;0
1249 ;5771 ;IMPORT5771;De 09:30 a 19:00 R60 ;09:30 ;19:00 ;15 ;15 ;09:30 ;60 ;8:30;12:50 ;13:50 ;1
1250 ;5772 ;IMPORT5772;De 06:00 a 17:00 R60 ;06:00 ;17:00 ;30 ;0 ;11:00 ;60 ;10:00;12:25 ;13:25 ;0
1251 ;5773 ;IMPORT5773;De 09:30 a 17:30 R60 ;09:30 ;17:30 ;15 ;15 ;08:00 ;60 ;7:00;13:40 ;14:40 ;1
1252 ;5774 ;IMPORT5774;De 16:00 a 01:00 R60 ;16:00 ;01:00 ;15 ;15 ;09:00 ;60 ;8:00;21:00 ;22:00 ;1
1253 ;5775 ;IMPORT5775;De 06:30 a 16:30 R60 ;06:30 ;16:30 ;30 ;0 ;10:00 ;60 ;9:00;12:30 ;13:30 ;0
1254 ;5776 ;IMPORT5776;De 09:30 a 17:30 R60 ;09:30 ;17:30 ;15 ;15 ;08:00 ;60 ;7:00;13:30 ;14:30 ;1
1255 ;5777 ;IMPORT5777;De 19:30 a 00:30 R0 ;19:30 ;00:30 ;15 ;0 ;05:00 ;0 ;5:00;;;0
1256 ;5778 ;IMPORT5778;De 11:30 a 21:30 R60 ;11:30 ;21:30 ;30 ;0 ;10:00 ;60 ;9:00;17:00 ;18:00 ;0
1257 ;5779 ;IMPORT5779;De 12:00 a 20:00 R60 ;12:00 ;20:00 ;15 ;15 ;08:00 ;60 ;7:00;15:15 ;16:15 ;1
1258 ;5780 ;IMPORT5780;De 15:30 a 23:30 R60 ;15:30 ;23:30 ;15 ;15 ;08:00 ;60 ;7:00;19:30 ;20:30 ;1
1259 ;5781 ;IMPORT5781;De 10:00 a 18:00 R60 ;10:00 ;18:00 ;15 ;15 ;08:00 ;60 ;7:00;14:15 ;15:15 ;1
1260 ;5782 ;IMPORT5782;De 11:30 a 20:30 R60 ;11:30 ;20:30 ;30 ;0 ;09:00 ;60 ;8:00;17:30 ;18:30 ;1
1261 ;5783 ;IMPORT5783;De 04:30 a 13:00 R0 ;04:30 ;13:00 ;15 ;15 ;08:30 ;0 ;8:30;;;1
1262 ;5784 ;IMPORT5784;De 11:00 a 19:00 R60 ;11:00 ;19:00 ;15 ;15 ;08:00 ;60 ;7:00;14:00 ;15:00 ;1
1263 ;5785 ;IMPORT5785;De 18:00 a 03:00 R60 ;18:00 ;03:00 ;30 ;0 ;09:00 ;60 ;8:00;23:30 ;00:30 ;1
1264 ;5786 ;IMPORT5786;De 07:30 a 18:00 R60 ;07:30 ;18:00 ;15 ;15 ;10:30 ;60 ;9:30;13:00 ;14:00 ;0
1265 ;5787 ;IMPORT5787;De 12:30 a 21:30 R60 ;12:30 ;21:30 ;15 ;15 ;09:00 ;60 ;8:00;17:45 ;18:45 ;1
1266 ;5788 ;IMPORT5788;De 16:30 a 01:30 R60 ;16:30 ;01:30 ;15 ;15 ;09:00 ;60 ;8:00;19:30 ;20:30 ;1
